;;;Err :501;;;
equal ;   file_1[301:314]; --> file_2[323:336]; ['naires,', 'Voyager', 'Deville', 'Alli', 'Marlard', 'Argentine', 'Trompette', 'XXX', 'DOLLAR', 'Xe', 'Janet-Picard.', 'GARRISON', 'Gazette,']; --> ['naires,', 'Voyager', 'Deville', 'Alli', 'Marlard', 'Argentine', 'Trompette', 'XXX', 'DOLLAR', 'Xe', 'Janet-Picard.', 'GARRISON', 'Gazette,'];;
insert;   file_1[314:314]; --> file_2[336:337];       []; --> ['écu,'];;
equal ;   file_1[314:335]; --> file_2[337:358];" ['Odes,', 'Tamines', 'MARRAKECH', 'Janet', 'Janet', 'POUVIONS', 'Cécette', 'POUVIONS', 'classiques', 'seconde', 'Chun-tfiou', 'Lid.', ""'\\ij"", 'K.MATI', 'c’est', 'repréfente', 'diverses', 'Ainsi,', 'finiîent', 'Videîau,', 'l’histoire']";" --> ['Odes,', 'Tamines', 'MARRAKECH', 'Janet', 'Janet', 'POUVIONS', 'Cécette', 'POUVIONS', 'classiques', 'seconde', 'Chun-tfiou', 'Lid.', ""'\\ij"", 'K.MATI', 'c’est', 'repréfente', 'diverses', 'Ainsi,', 'finiîent', 'Videîau,', 'l’histoire']";;
insert;   file_1[335:335]; --> file_2[358:359];       []; --> ['règnes'];;
equal ;   file_1[335:451]; --> file_2[359:475];" ['lesquelles', 'gouvernoient', 'Chun-tfiou,', 'c’est-à-dire', 'flétrissent,', 'représenté', 'faces', 'sujets,', 'l’enseignait', 'cidiv', 'sentences,', 'circonstances,', 'faiblesse', 'étoit,', 'exprimoieut', 'étoile', 'historique', 'coates', 'infirmerions', 'l’occasion', 'nécessairement', 'devait', 'néreflîté', 'suivre', 'renfermoient.', 'C’el:', 'lorsque', 'néreflîté', 'connaissance', 'profitent', 's’introduisent', 'administrateurs', 'plusieurs', 'fields,', 'respect', 'soldats', 'puissance', 'opposer', 'allions', 'l’instruction', 'forces', 'conservait', 'composés', 'symboles,', 'n’étoit', 'possible', 'donnaient', 'dépendait', 'l’observation', 'pouvoir', 'l’implîbilité', 'cause', 'cause', 'défilaient', 'esprits', 'baracké', 'xix', 'nécessaires', 'liaison', 'suivirent', 'hasard', 'renfermoient', 'esprits,', 'liaison,', 'xiii', 'simplicité', 'assez', 'fagacité', 'fbfîtoit', 'rétablissement', '£0""gouvernement.', 's’empressa', 'possédoit', 'rendit', 'succès', 'jusqu’à', 'subiïlcr,', 'bestiaux.', 'remplissait', 'sortit,', 'classiques', 'présidence', 'justice,', 'déintéressement', 'universellement', 'ministre', 'posteïion,', 'Chao-thing-mao', 'autorit', 'déordre', 'surprit', 'cons', 'artificielle,', 'mensonges', 'fausseté,', 'heureuse', 'plaisance', 'grand', 'Chance', 'thing-mao', 'laisser', 'courtisan', 'subitement', 'résolut', 'Hit.', 'présent', 'présent,', 'sortit,', 'princesse', 'épouse,', 'attendait', 'spectacle.', 'Connu«', 'n’avoir', 'jusqu’ici', 'vente.«']";" --> ['lesquelles', 'gouvernoient', 'Chun-tfiou,', 'c’est-à-dire', 'flétrissent,', 'représenté', 'faces', 'sujets,', 'l’enseignait', 'cidiv', 'sentences,', 'circonstances,', 'faiblesse', 'étoit,', 'exprimoieut', 'étoile', 'historique', 'coates', 'infirmerions', 'l’occasion', 'nécessairement', 'devait', 'néreflîté', 'suivre', 'renfermoient.', 'C’el:', 'lorsque', 'néreflîté', 'connaissance', 'profitent', 's’introduisent', 'administrateurs', 'plusieurs', 'fields,', 'respect', 'soldats', 'puissance', 'opposer', 'allions', 'l’instruction', 'forces', 'conservait', 'composés', 'symboles,', 'n’étoit', 'possible', 'donnaient', 'dépendait', 'l’observation', 'pouvoir', 'l’implîbilité', 'cause', 'cause', 'défilaient', 'esprits', 'baracké', 'xix', 'nécessaires', 'liaison', 'suivirent', 'hasard', 'renfermoient', 'esprits,', 'liaison,', 'xiii', 'simplicité', 'assez', 'fagacité', 'fbfîtoit', 'rétablissement', '£0""gouvernement.', 's’empressa', 'possédoit', 'rendit', 'succès', 'jusqu’à', 'subiïlcr,', 'bestiaux.', 'remplissait', 'sortit,', 'classiques', 'présidence', 'justice,', 'déintéressement', 'universellement', 'ministre', 'posteïion,', 'Chao-thing-mao', 'autorit', 'déordre', 'surprit', 'cons', 'artificielle,', 'mensonges', 'fausseté,', 'heureuse', 'plaisance', 'grand', 'Chance', 'thing-mao', 'laisser', 'courtisan', 'subitement', 'résolut', 'Hit.', 'présent', 'présent,', 'sortit,', 'princesse', 'épouse,', 'attendait', 'spectacle.', 'Connu«', 'n’avoir', 'jusqu’ici', 'vente.«']";;
insert;   file_1[451:451]; --> file_2[475:476];       []; --> ['plût'];;
equal ;   file_1[451:464]; --> file_2[476:489]; ['corne', 'OASIS', 'plaisir.', 'assez', 'disposition', 'principautéde', 'disciples.', 'intrusionït', 'président', 'fabre', 'portait,', 'paroître', 'assez']; --> ['corne', 'OASIS', 'plaisir.', 'assez', 'disposition', 'principautéde', 'disciples.', 'intrusionït', 'président', 'fabre', 'portait,', 'paroître', 'assez'];;
insert;   file_1[464:464]; --> file_2[489:490];       []; --> ['Tien,'];;
equal ;   file_1[464:521]; --> file_2[490:547];" ['ministres', 'considérait,', 'pasé', 'ministres', 'l’appeller,', 'entit', 'consacra', 'disciples,', 'composa', 'Enseigner', 'Hill.', 'xj', 'persuader', 'proposait', 'd’amuser', 'courtisans', 'superficiels,', 'empire', 'l’exposîtion', 'simplicité', 'accessible', 'voulait', 'passager', 'emp-', 'Xxie', 'petits', 'impression', 'l’esprit', 'favoit', 'connaissance', 'solide', 'fur-tout', 'nécessité', 'présentant', 'persuader.', 'style', 'actifsîcr', 'précision', 'pourrait', 'souvenir.', 'préincision,', ""y'observe-"", 'difFusion', 'confusion', 'présenter', 'subtilité', 'expressions', 'forme', 'amuser,', 'applaudissements', 'soixante', 'doctrine', 'disciples,', 'appris’art', 'l’enseigner,', 'inspiré', 'confinement,']";" --> ['ministres', 'considérait,', 'pasé', 'ministres', 'l’appeller,', 'entit', 'consacra', 'disciples,', 'composa', 'Enseigner', 'Hill.', 'xj', 'persuader', 'proposait', 'd’amuser', 'courtisans', 'superficiels,', 'empire', 'l’exposîtion', 'simplicité', 'accessible', 'voulait', 'passager', 'emp-', 'Xxie', 'petits', 'impression', 'l’esprit', 'favoit', 'connaissance', 'solide', 'fur-tout', 'nécessité', 'présentant', 'persuader.', 'style', 'actifsîcr', 'précision', 'pourrait', 'souvenir.', 'préincision,', ""y'observe-"", 'difFusion', 'confusion', 'présenter', 'subtilité', 'expressions', 'forme', 'amuser,', 'applaudissements', 'soixante', 'doctrine', 'disciples,', 'appris’art', 'l’enseigner,', 'inspiré', 'confinement,']";;
insert;   file_1[521:521]; --> file_2[547:548];       []; --> ['zèle,'];;
