"Poesies
DE
Valentin
"
Les rires du sarcasme
Sonores
VALENTIN
Un tourbillon de flamme
Le Vertige et le Désespoir !
Holocaustes
Defilaient
Roulaient
Mitraillant
Protégez le navire errant
du Nord
Cria
VALENTIN
Jette
Semblable
du Nord
Où le cher
Ornaient
VALENTIN
Christ
Ecoutait
Regardait
Dorait
Meditait
Veut
Henri !
Etrange
Ma mère
VALENTIN
Remué
"Dieu !
"
Si le Ciel
Henri
Pèlerin
Un doux repos
VALENTIN
c
Afrique
Etroit
Un cercle ténébreux
Semble un mort
Méditerranée
Couvre-t
Et tantôt je tournais
Dante
"Chillon…
Pardonne, ô grand martyr"
"Patrie et Liberté !
"
Offerte
Chasser
Dévoré
VALENTIN
Dit
Arrête
Me
Dit le père
Oh !
bon Dieu
Sois
J échauffai le mourant
Ecrasé de silence
VALENTIN
Dieu
Ma mère
Dieu
Ah !
VALENTIN
MINUTES
"Nîme,
Dans la gare"
saint François !
"Une soeur des blanches Péris,
Sur mon accoutrement étrange
Attachait"
"Un regard altier de princesse
Rayé"
Pérou
VALENTIN
Effleura
"Minute enivrante de charme !
"
O vent fugitif de l’aurore* !
Brise
A
Oh !
"Nîme,
Dans la gare"
MEDAILLON
IMMOBILE
Dont
Doux
Priait
VALENTIN
"Mon aïeule, ma soeur, un groupe heureux d’amis,
Autour du feu d hiver"
le Seigneur
Retrempe
Est
"Effrayant de silence et d’immobilité !
"
"Dieu !
DE"
VALENTIN
"PENSEES DE NOVEMBRE
SOUVENIR"
ÉTAIENT
Demi-nus
A
Comédie
Enigme désolante !
"Des oiseaux joyeux et moqueurs
Qui"
"Roulant sur une pierre neuve.
"
Dore
VALENTIN
DESERTEUR
Air
"La Gardeuse d’ours
VIEUX déserteur"
ben ach'ter
"Un vieux chapeau, mais des plus gras,
Un pantalon qui dit : j’te quitte,
Une blouse"
"En politiq' j’ai ma marotte,
J’ai z'un princip' ben"
Me
Où
VALENTIN
"Je n’attrapp' jamais mon congé !
Vieux déserteur"
Dieu
Connaître à fond
Noël
"Chapsal ;
"
VALENTIN
"Hier, j’étais de garde"
Sonna
Dieu
"REVERIE D’UNE SENTINELLE
AU BOIS DE BOULOGNE
UN"
Glissa
"En illuminait la blancheur.
Avec force le sang battait ma tempe frêle ;
"
Mes yeux
VALENTIN
UN
ÉTAIT
Roulant homme
L’Empereur
sabrez
Anglais
Cambronne
"Société des Etudes du Lot
P ENDANT"
Les Gauloises
César
Alésia
Monté
VALENTIN
"César !
Superbe, illuminé"
Rayon pur et sacré
César !
Méprisa
Rome
Gaules
En esclave
Dieux
Brutus
"Un jour, un étranger"
Anglais
Le conquérant du Rhin
Nil
"Adige !
Après vingt ans de lutte"
La Muse
Byron
Hugo
Barbier le souffletait ;
VALENTIN
Visiter
Où le César
Gronde
Corse
Rome
Défiant
Anglais
Océan !
"RIMES SIMPLES
"
AIMER
"O mes souvenirs de jeunesse,
Me"
Oh !
VALENTIN
Où le soleil
"Le coeur vole et franchit l’immensité des eaux,
C’est"
Ou des voiles
Te
VALENTIN
GENEVIEVE
O
Abonde
"Blonde et mutine enfant, miniature"
"Eve,
Toute ravie encor"
De l’aube au pur reflet
muse
Ondine
Sylphe du soir
HENRI
Ange
A
Ange
Une Fée
"Les rayons dorés d’une étoile.
DE"
VALENTIN
Mlle MARIE-LOUISE
QUAND
Paraît là comme un lys
Cher
Où soupire
Mme JOSEPHINE
"Si vive et rondelette, au printemps de ses jours !
"
"Un bouton d’églantier, joli"
Ariel
Gardent un talisman
VALENTIN
"JEANNETTE E.
SUR votre bouche"
"Un petit ange du bon Dieu
Vous"
Trouve
O
En vous embrassant
VALENTIN
Ma blondinette aux beaux yeux bleus
"Petits enfants, petits oiseaux,
"
"Petits nids et petits berceaux,
Que tout cela va bien ensemble !
6
82 POÉSIES
A PETITE"
Charmant
Si
A
VALENTIN
"JEANNE ESC…
CE"
Jeanne
Cher
"Un rien, un passant"
Marie
VALENTIN
Egypte
"Arabi.
"
Ma
Arabi
Anglais
"Fuir les frileuses hirondelles ?
DE"
VALENTIN
JEANNE B
Vierge Marie
Petite Jeanne
Entourait
Naissait
"Les Anges dans un coin des cieux
Se"
"Saints-Lieux,
Ils se"
"Madame.
DE"
VALENTIN 89
"HENRI R
"
Doux
Mars
"Avril butine
Fleur des bois"
De la chaise
Ah !
VALENTIN
"A L
JE"
Soupirant
Solitaire
Un fantôme enivrant
Je cherche un front charmant
VOUS nous quittez !
"Jour importun, hélas !"
Attache le rameau
eté
Quand la terre
VALENTIN
"A UNE JEUNE FIANCEE
"
Embaumera
"Jeunesse aux yeux bleus et coquets,
Adieu "
Etincelante
Sois
Ton oreille
Si
Par ton sourire sois la reine
"Par ta grâce sois le rayon !
"
Quelque amoureux
"Sur l’ivoire du clavecin,
"
"Voltige et tombe harmonieuse !…
Chante"
"Empreintes chères et sacrées,
Du passé rêves"
O
"Rayonner des tresses dorées !
"
"Allez entr'ouvrir ses rideaux,
Pour que"
VALENTIN
A X
Savoir
"Un murmure flottant, une vague rumeur,
Semblable"
Heureux d’un mot
"PENSEES DE NOVEMBRE
PUISQUE"
Feuille d’arbre
"Toi qui nous ombrageais, où seras tu ce soir ?
"
"Je suis las, et ne sais comment me reposer."
"VALENTIN 97
A Mlle MARLARD
DIVA mignonne, enchanteresse,
Cet oiseau"
"Faire une harmonieuse ivresse ?
"
Charmante
Au coeur une molle
Vos lèvres roses souriront ;
"Mlle B. D
"
Blanche
Blanche
"Et cueille en t’enivrant des baisers et des fleurs.
Va, charmante ;"
Tes yeux
saint Pierre
Du seuil du Paradis
"VALENTIN 99
A Mlle ISABELLE F
AIMER"
Eveille
"Doit une rose, une fleurette,
"
"Prise à la branche d’un laurier.
100 POESIES
UN SOIR DE MARDI GRAS
LE joyeux carnaval"
"Philosophons, parbleu !"
Carême
Me
"VALENTIN 101
LE BOHÈME"
AI
Dont
Touchaient
Miroitant
Et leurs rubans
Fanfreluches
"Où riait un soleil joyeux !
Parfois, au détour d’une rue,
Quand se bousculait la cohue,
Que"
VALENTIN
Chapelain
Pinde
monsieur Despréaux
Mépriser Apollon !
"Oronte,
Mais"
Alceste
II
Ferme
"Par l’éclat des saphirs le sens du connaisseur ;
Alors…"
Hugo
"Dieu !
DE"
VALENTIN
"Desesperance
"
Quittera t-on jamais
Musset
"Lamartine,
Et leurs riches moissons pour des sillons deserts ?"
Muse
Génie
II
Garde de l’Océan
VALENTIN
Prévoyaient
Me
VALENTIN
Me
Dore
Jolie
Comédie
"VALENTIN III
Triolet
"
BRUNE Hélène
Brune Hélène
Me
Mobiles
"Mes poétiques encensoirs.
"
Chercherait
A
VALENTIN
"Anna
PROFITANT"
Dont Apollon
Anna
Dont mon pauvre coeur
Anna
"Où j’avais écrit le sonnet,
Une larme mit : Epitaphe.
8
114"
"ET CARILLON
JEUNE, ardent"
A
Un éclat de rire argentin
VALENTIN
"Madame A
AUPRÈS"
Ta
Inquiète
Dieu
Un sommeil heureux descendra
Jeté
Adorant
VALENTIN
"Mme B. G
DAME"
Eden
QUEL
"En parfumant le coeur, l’empêche de vieillir.
DE VALENTIN"
A Mlle ARMANTINE
Oh !
VALENTIN
Dieu
Sérieuse
Vestales ?
Entr'ouvrir
VALENTIN
"Mme E. C
"
O brune pâle
"POESIES
LE VINGT-UN"
"Blonde aurore des fleurs, jours"
O
Complices
VALENTIN
Mlle LEONIE
Mes vers badins
VALENTIN
"A Mlle DUMOULIN
TOI"
Toi
"Traviata,
Comment, sur la harpe"
"Rosine
Mêler"
Lucia
Te
"Ariel
"
Douce
Charmer
Que la poudre d’or
VALENTIN
"Mlle X
"
Résonne
"Mlle M. P
"
Blondinette
VALENTIN
Tu gambades
"Dis bonjour à la marguerite,
"
Mets-lui des lilas
"DEPART DU MOIS DE MAI
"
MALGRÉ
"Liline,
"
Un doux sonnet
Souriant
VALENTIN
DISTRACTION
COMBIEN
Longs
Riches
Où petille
Du soleil
Retombant
Heureuse
"Et j’ignore
S’il faut adorer, au saint"
"Dieu,
"
VALENTIN
CONSEILS
Rose : —
"Dont le coeur
Cache des perles de rosée"
Le soleil
Appelant
Egrène
"Rose, tout"
"Dont tu ne sais pas le délire.
"
"Le secret de tes destinées,
"
O Rose
"Dont le coeur
Cache des perles de rosée"
VALENTIN
"Mlle GABRIELLE D
ALLONS."
Choisis ta serénade
"Dût-elle, trop"
Ou l’humble violette
STROPHETTE
Cupidon
Amour.
VALENTIN
Enfer
Hardi
David
Combattant Goliath
Lucifer
"Archange,
Je veux"
La Haine avec fureur
Surgissez
Hercule
Thésee
Jette
VALENTIN
"DE JEUNESSE
DES cieux profonds et purs"
Beauté
O
Donne un frémissement
Fait croire
A
Nuit rêveuse
Surprend
Où les sylphes
Dansent
Tournoyer
"Où tout est saisissant,"
Effarouche le daim
Du cor
"Où le coeur, se fondant,"
Nuit dont l’oiseau
Diane
Adore
Endymion
VALENTIN
Moderato
Anna
"En fraîche robe blanche
"
"Dolce) 
Oh !"
Je sens ta main
Un peu !
Ton
Mon regard
Taille
"Etreinte langoureuse,
Désirs,
Baisers"
"En fleur,
"
"O dévorantes fièvres
Du coeur !
"
Volons
VALENTIN
Tournons
"Rinforzando) 
Tout passe : galeries,
Rideaux,
Glaces, tapisseries,
Flambeaux :
Tout vole, tout"
El notre oreille
Du Rhin
Dans l’air !
Con
Anna
L’agneau !
Magali
Harmonieusement
Flottante
VALENTIN
"Et j’en suis encor tout surpris —
Une fête bien solennelle
Où l’on allait donner les prix ;
"
Ma mère
Joli
Sombre et navrante
VALENTIN
PENDANT
"L’Amour, sans cesse"
"REFORMATEUR
LECTEUR"
"Un joli petit diable rose
Gambadant"
Dieu
VALENTIN
Laïs
"Lais, la chaleur
D’un air tout saturé des parfums de l’orgie,
Atmosphère étouffante"
muse
Aspasie
Insouciante
Quand de Midi
Gens de cour
Usent mes sofas
VALENTIN
Caracole
Varier
Dont mon alcôve
Ou
Les fleurs
Arthur
Appréhende
VALENTIN
SONNET
Nini
VALENTIN
STROPHES EN
Et sur l’homme
"Hier, tu souriais, heureuse"
"Et sur tes songes purs, ô blanche jeune fille,
L’avenir"
Un spectre aux bras
"Hier, ils pâlissaient"
vaccille
Redites
VALENTIN
"COUPE ET LE SPECTRE
QUE je te brise"
Spectre
Etreints
DANS
Cherchait
VALENTIN
RONDEAU
"Mme M. L
"
"De l’éclat le plus radieux
"
Si vous vouliez.
Si vous vouliez.
STROPHES
RESTONS
"Ecoutons du grand vent les sombres harmonies
"
Attendons
Epaule
dore
VALENTIN
PERSONNE
Tâtait
Et disait doucement :
Ah !
debris
O mère !
O
Bénitier
Egarer
VALENTIN
Chercher
"La Foi vous avez dit : voyez !
"
Dont
Dieu
Iront
Encadrait
O
Fleurissaient
VALENTIN
Parsemait
"En moi bien des métamorphoses ;
"
Tomba
Ma main
Me
O
Dune
Marie
Mon âme
"EPITAPHE A LA CHARTREUSE
CIMETIERE DE BORDEAUX
APRÈS"
"Un soir, dans le grand cimetière
J’entrai, je ne sais trop"
VALENTIN
Curieux
Savoir
"Errait sur cette pierre obscure
Comme un soupir mystérieux"
Mon Dieu !
Vienne
"Fais à cette tombe l’aumône
D’une herbe plus épaisse encor,
Donne"
Fais
Troubla
VALENTIN
EPISODE
Jaïrus
Roulent
En disant :
"Ma fille dort, tu peux la réveiller"
"Seigneur, Seigneur"
VALENTIN
Retourne à la maison
Ta fille
Jésus
Jésus
Jairus
David
Vois
Jesus
Talitha
Ouvrant des yeux
Jesus
Jairus
Jésus
"Talitha
Courut"
Marie
Dieu
VALENTIN
"EPISODE SACRE
CHASSÉS du Paradis"
Ensanglantaient
Marbrait
"Par l’orage emportés, s’enchevêtraient"
Paradis perdu
VALENTIN
"LA VIERGE DES QUATRE SAISONS
O Vierge"
"Quand la nature
Ouvre au printemps ses prés fleuris,
"
"Donnez aux roses
Fraîches écloses
Tous les parfums du Paradis."
O
Montrez
O Vierge
"CHANSON DU PAYS
SAISI"
Paris
le Lot
"pont Valentré.
Salut, ô colosses de pierre !
"
"Sur l’escalier tout délabré
Je m’élançais,"
pont Valentré
Traîner
De Golconde
"Malabar ;
"
"pont Valentré.
Les trois géants"
Etat
"pont Valentré.
DE VALENTIN"
DEUX
"pont Valentré,
Devant un cabaret"
Un cheval
Pendait
Terne
Pointaient
Pareils à des boyaux
En signal de départ
Dont
Paraissait
O misère !
DE VALENTIN
O fille du soleil
"Nature, tes splendeurs
"
Elever un regard
"SONNET MYTHOLOGIQUE
CETTE"
Une femme en pleurs
A la fontaine
Paraient
fontaine des Chartreux
VALENTIN
guignon
"Un bruit vous échappe et, pardon !
"
"Ou bien un soir de carnaval :
Le mari"
Un pauvre bourriquet
En broutillant
VALENTIN
FRAICHES
Bienfaisantes
"PASSAGE DE VENUS
DU 6 DÉCEMBRE 1882
UN"
Apollon
Vénus
"Heureux, rayonnants, magnifiques,
Après bien longtemps"
DIALOGUE
"JOURNAL DU LOT
C’EST"
Moi j’ai menti
"JOURNAL DU LOT
Tu sais"
P
Voudra
P
Tombe
P
Gardons cette noble
de France
VALENTIN
EH
Verse
Français
Vieux
"DISTRACTION ELECTORALE
EN"
O
Ah !
Eh quoi !
Cupidon
VALENTIN
Richard
Cria
En voyant ma chemise en dèche
Je m’écrie aussi
SONNET
"M. ESCOFFIER
"
Eh quoi !
Hasarder
Tiré le diable
Gambetta
Patriote
"Debout, sans hochet"
Surgis
Du Droit et de la Liberté.
Ton monument
"Tant de fleurs, de lauriers"
Brandissez
Irritez
"Grand Homme
Frappe"
"VALENTIN 199
Choisis-le quand la guerre"
Allemagne
Ouvraient
Où Kléber
Marceau
Brune
Bergen
Zurich
O
Bravez
"Destinée,
"
Ressuscitez Fleurus
"Marathon, Mantinée ;
Accours,"
Léonidas
la France
Debout !
Acharnons
"Michel Ange
Son fort ciseau"
Médite
Mets
Et du bloc
VALENTIN
Sonnet funebre
Mort inflexible
la Haine sombre
La République
Où dort le fier enfant
Panthéon
Français
"Avenir solennel voie ensemble
Gambetta"
Mirabeau
GAMBETTA
POURTANT
Eût
Un rayon de génie
"Encelade !
"
"sommet de l’Histoire !
"
Eh quoi !
"Ultima
25 MAI"
"Muse:
Je refuse
De vous écouter désormais ;
Plus de"
"Dans l’abîme de mon passé :
Creusé"
Loin de France
Du soleil
Algérie
VALENTIN
Un peu d’eau ?
O ma reine
Et baiser mes yeux
Mélodie
O
"Mes aspirations sacrées
Vers le ciel !
"
Le beau songe
Un vent de colère
NOTICE BIOGRAPHIQUE
"I
PRÉFACE XI
POÉSIES
Le Départ d’un soldat"
"Soldats d’Afrique 4
Message"
"Messager 5
"
"La Marche militaire 8
"
"Une Veillée au camp 11
"
"Café 28
La Rose"
"Silo 39
Dix Minutes d’arrêt 51
Médaillon"
"Pensées de novembre 57
Le vieux Déserteur d’Afrique 59
"
"Un Candidat caporal 62
"
Rêverie d’une Sentinelle
Un Mot d’Histoire
Vercingétorix
Edouard
Geneviève Dardenne
Henri Laroussilhe
"Mlle Marie Louise Val 77
"
Mme Joséphine Val
Jeannette E
M. A. Raby
Emilie Delville
Thérèse A
Jeanne Esc
Henriette
Louise
Saratou
Jeanne B
Henri R
"Leçon d’Écriture 90
AL"
A X
Mlle Marlard
Mlle B. D
Mlle Isabelle F
"Le Bohème, un jour de fête 101
Boutade 103
Désespérance"
A P
"Page de mémoire 107
Promesse manquée"
Triolet
Louise
"Anna 113
Glas"
Carillon
"L’Enfant malade 115
"
"Mme B. G 117
Premières Violettes"
Mlle Armantine
Mme Delphine B
"Exhortation 121
"
Mme E. C
Mars
Mlle Léonie
Mlle Dumoulin
Mlle X
A Mlle M. P
"Bienvenue au Printemps 131
Départ du mois"
"Mai 132
Distraction"
Conseils
Mlle Gabrielle D
Strophette
Hieroglyphe
"Nocturne 141
Valse"
"Dame 146
Réminiscence"
"Orage 149
Aux lecteurs du"
Réformateur
Laïs
Sonnet
Strophes
La Coupe
"Spectre 159
"
"Absence 160
Rondeau"
Mme M. L
Strophes
"L’Enfant et l’Homme 163
Chanson perdue 166
Épitaphe"
Chartreuse
Talitha
Épisode
"La Vierge des Quatre Saisons 179
Chanson du pays 181
"
Deux Misères
Sonnet
Le Guignon
Le Passage de Vénus
Dialogue
"Épitaphe 193
Distraction électorale 194
Boutade"
Dernier Sonnet
A Gambetta
Sonnet
Gambetta
Gambetta
"Ultima 303
Imprimé
"
"F. Delpérier
A Cahors
Et"
"DCCC LXXXV
"
AUTEURS
PUBLIÉS
CLADEL
Le Bouscassie
CLADEL
Fête
I
CLADEL
Mes Paysans
"Saint Bartholomee
Porte Glaive"
CLADEL
DELTHIL
DELTHIL
Rustiques
DELTHIL
Martyrs de lIdéal
DFLARD
DEVIC
Marcel) Les Merveilles de l’Inde
Adjaib al Hind
Xe
Jannet-Picard
GARRISSON
Le Pays des chênes
LYTHE
MAGNY
"E.Courbet(épuisé) 
1 vol"
Hollande
MAGNY
"E.
Courbet"
in 12
Hollande
MAGNY
"Les Odes, 2 vol"
MAGNY
Les Amours
E. Courbet
MAGNY
Dernières Poésies
E. Courbet
MAGNY
Th
Tamizey de Larroque
MARATUECH
Francis)
Choses
MAROT
OEuvres
P. Jannet
Ch
Héricault
Jannet Picard
MELVIL
"Francis) les Voyageurs, 1 vol"
POMAYROLS
Charles
La Vie meilleure
POMAYROLS
Charles de
Rêves et Pensées
POUVIILON
POUVILLON
Histoire
Académie
POUVILION L’Innocent
Cahors
"Livres classiques
DE L’EMPIRE"
De la chine
"L’EMPIRE
DE"
.LES
Kings
Ssée-chu
Kings
Y-king
Chu-king
Tchun-tfiou
Y-king
Tome II
Fo
Ainfi
Notice de l’Y-king
M. Vifdeîau
"Chufcing.
"
"O B S E R VAT1 O N S. iij
Le"
Chu-king
Le Chi
troifieme
"Le Tchun-tfiou, c’"
vrage
ainfi
"les fleurs fe flétrifscnt, &
les arbres fe"
"Se
des devoirs ;"
O B
O N
doctrine des Kings
Notice de l’Y-Icing
"Çhin, t. 4"
foiblefse &
Y-king
Chu-king
loates
"moralepolitiquede la
Chine"
néceflîté de fuivre
Fut
"Se qui fentirent
moins"
viij
O B S E R
cft
Chinois
confervoit
O B
O N
caufe &
A
"Confucius
apperçut la"
"doc trine
 des premiers temps"
Chinois
Confucius
"& en don-
OBSERVATIONS, xiij
liant au corps de leur doctrine"
Chine
Confucius
Tome II
xiv
"prince de
Lou"
& le prince de Lou
miniftre
Confucius
"& mourir
Chao-tching-mao"
défordre
fcs
xvj
Unfeuldecesvices
"Chaoce
tching-mao "
"Lou : le
prince"
Tsi
royaume de Lou
la Chine
Oj S E RVATI
ON S. SVÏj
"Se
excellentes cantatrices"
Lou
fon état
& fe
province d’
prince d’Ouéi
Confucius
OBSIS
VAT
Confucius
"Se
fe"
"principauté de
Tso"
afsez
Confucius
"fe ca-
O B S E R"
Tien
fouvent
& perfécuté
prince de Tchou
ainfi
fon inftruélion
& fe confacra
"fes difciples,"
Penfeigner &
perfuader
Confucius
oififs & ennuyés
Xxij O B S f
II
"fes infmi
étions"
"& fur-tout des principes
,"
nécerfité
"fes principes fondamentaux
&"
facrifîcr
fes ouvrages &
fes
xxiv
Confucius
fes difciples
dirFufion
préfenter fes
Confucius
Telle
Confucius
fes
Tome II
S
vifîter
Confucius
Ses fuccefseurs
fes
"Hantchang-ti
fait conftruire"
Confucius
"fes difciples
 ;"
O I-lift
t. j
Confucius
Confucius
ainfi
fon
fe
la Chine
ainfi
Confucius eft
la Chine
falles
fon honneur
Chine
Confucius
Chinois
Confucius
fes devoirs &
Confucius
Chinois
elt
"reconuoître fon difciple,"
doctrine de Confucius
"fes difciples,
&"
fîx
P. Noël
lesTsée-chu
"Ecole des Adultes
ou la"
Grande Scie nce
"Tufie
Milieu"
Livre des Sentences
"Memcius, la"
"Piétéfiliale,Sel’École
des Enfants,
Les livres canoniques du second
sxxij"
King
"Si
exposée"
la Chine
Chinois
la Chine
exifte
Amftcrdam
Morale de Confucius
Le P. du Halde
"P.
Noël"
"P.
Noëlétoitcertainementphilofopke,
OBSERVATIONS, XXXV
&"
"Science des Adultes
&"
Milieu
Science des Adultes
"Corifucius,"
"fon difciple Tfem-tfée.
"
fes moeurs
Ois
Confucius
fon état
concorde
fes femblables
Confucius
"Grande
Science"
Jufte Milieu
Milieu
Tsée-sée
Confucius
"Confucius examine
fes pafïïons"
fes inclinations
"fes
defirs"
xxxviij
&c
Confucius
redefeend
fes
Chinois
eft ainfi
eft ainfi
penferont
PP
"Intorceta
& Noël"
TraduQion
Grande Science &
"Jufie Milieu,
"
LA GRANDE
LA GRANDE
"Aij
4 IA GRANDE"
fon état naturel &
"& en faifant de fîneeres &
de fréquents efforts"
eft ainfi
Lorfque
afsez
"faculté rai-
LA.GRANDE"
fon
inftructions &
fes
fali
Ton entreprife
cft
LA GRANDE
Lorfque
"fes
fens &"
efpece
leurame
LA GRANDE
obfcurcie
Us
ilfalloit
Ainfi
Si LA GRANDE
honnête & du déshonnêtc ;
LA GRANDE
fon
fes moeurs &
Tome II
Ton royaume
caufer
"Se y
faire renaître la paix"
LA GRANDE
"ordre S:
la difeipline"
fes
fes moeurs & fa
fes devoirs
"&
Bij
\6"
LA GRANDE
Vouloir
Sides
fon efprit
fes moeurs & fa
1A GRANDE
"fes
voifms& fes"
V
OILA
Confucius
B
fon difciple Tfun-tfée
fesdifciples
lerenouvellement
lanéceflîté &
"fes moeurs ;
8°"
lanécerfité
fes moeurs
nécefïïté
ÎO LA GRANDE
Confucius
foit impoffible
la Chine
Chinois
LA GRANDE
"ZI
I SUN"
"difent fes
enfants "
états fe
refpeér
Taiticn
fes
cîu Chou-king
Amelot
Chou-king
LA GRANDE
Cliun
efprit
c. j
Siang
fes vertus
"Chun, qui
gouverna l’empire"
